SOCIAL;Generación de empleo;Participación de la población joven;Participació de la mujer ;Impacto social;Presencia de emprendedores;Capacidad organizacional 
Generación de empleo;1    ;3    ;1    ;1    ; 1/3;1    
Participación de la población joven; 1/3;1    ; 1/3; 1/3; 1/3; 1/3
Participació de la mujer ;1    ;3    ;1    ;1    ;1    ; 1/3
Impacto social;1    ;3    ;1    ;1    ;1    ;3    
Presencia de emprendedores;3    ;3    ;1    ;1    ;1    ;3    
Capacidad organizacional ;1    ;3    ;3    ; 1/3; 1/3;1    
