Selección de cadenas productivas;Componente social;Análisis organizacional;Análisis territorial e institucional
Componente social;1    ;1    ; 1/5
Análisis organizacional;1    ;1    ; 1/3
Análisis territorial e institucional;5    ;3    ;1    
