SOCIAL;Generación de empleo;Participación de la población joven;Participació de la mujer ;Impacto social;Presencia de emprendedores;Capacidad organizacional 
Generación de empleo;1    ;3    ;3    ;3    ; 1/4; 1/3
Participación de la población joven; 1/3;1    ;3    ;3    ; 1/4; 1/4
Participació de la mujer ; 1/3; 1/3;1    ;3    ; 1/5; 1/3
Impacto social; 1/3; 1/3; 1/3;1    ; 1/5; 1/3
Presencia de emprendedores;4    ;4    ;5    ;5    ;1    ;3    
Capacidad organizacional ;3    ;4    ;3    ;3    ; 1/3;1    
