ORGANIZACIONAL Y EMPRESARIAL;Capacidad, continuidad y estandarización de la producción;Costos competitivos y acceso al crédito;Potencial de mercado;Aliados estratégicos;Acceso a tecnología para la producción;Calidad de producción;Certificaciones obtenidas
Capacidad, continuidad y estandarización de la producción;1    ;3    ;1    ; 1/3;1    ; 1/3;1    
Costos competitivos y acceso al crédito; 1/3;1    ;3    ;1    ;1    ;1    ; 1/3
Potencial de mercado;1    ; 1/3;1    ;1    ; 1/3;1    ;1    
Aliados estratégicos;3    ;1    ;1    ;1    ;1    ;1    ;1    
Acceso a tecnología para la producción;1    ;1    ;3    ;1    ;1    ;1    ;1    
Calidad de producción;3    ;1    ;1    ;1    ;1    ;1    ;1    
Certificaciones obtenidas;1    ;3    ;1    ;1    ;1    ;1    ;1    
