SOCIAL;Generación de empleo;Participación de la población joven;Participació de la mujer ;Impacto social;Presencia de emprendedores;Capacidad organizacional 
Generación de empleo;1    ;3    ;3    ;1    ;2    ;3    
Participación de la población joven; 1/3;1    ;3    ;1    ; 1/3;1    
Participació de la mujer ; 1/3; 1/3;1    ; 1/2; 1/2;1    
Impacto social;1    ;1    ;2    ;1    ;1    ; 1/3
Presencia de emprendedores; 1/2;3    ;2    ;1    ;1    ;1    
Capacidad organizacional ; 1/3;1    ;1    ;3    ;1    ;1    
