Selección de cadenas productivas;Componente social;Análisis organizacional;Análisis territorial e institucional
Componente social;1    ; 1/3;2    
Análisis organizacional;3    ;1    ;4    
Análisis territorial e institucional; 1/2; 1/4;1    
