ORGANIZACIONAL Y EMPRESARIAL;Capacidad, continuidad y estandarización de la producción;Costos competitivos y acceso al crédito;Potencial de mercado;Aliados estratégicos;Acceso a tecnología para la producción;Calidad de producción;Certificaciones obtenidas
Capacidad, continuidad y estandarización de la producción;1    ;2    ; 1/3;2    ;1    ; 1/3; 1/3
Costos competitivos y acceso al crédito; 1/2;1    ; 1/2; 1/3; 1/2; 1/3; 1/2
Potencial de mercado;3    ;2    ;1    ;2    ; 1/3; 1/2; 1/2
Aliados estratégicos; 1/2;3    ; 1/2;1    ; 1/3; 1/2; 1/2
Acceso a tecnología para la producción;1    ;2    ;3    ;3    ;1    ; 1/3;2    
Calidad de producción;3    ;3    ;2    ;2    ;3    ;1    ;3    
Certificaciones obtenidas;3    ;2    ;2    ;2    ; 1/2; 1/3;1    
