Selección de cadenas productivas;Componente social;Análisis organizacional;Análisis territorial e institucional
Componente social;1    ; 1/4; 1/4
Análisis organizacional;4    ;1    ;2    
Análisis territorial e institucional;4    ; 1/2;1    
