TERRITORIAL E INSTITUCIONAL;Acceso al mercado;Disponibilidad de servicios básicos;Electrificación con el potencial requerido;Servicio o comunicación;Impacto negativo al medio ambiente;Pertinencia de la cadena con políticas e instrumentos de planificación y gestión estratégica
Acceso al mercado;1    ;3    ;2    ;2    ; 1/3; 1/3
Disponibilidad de servicios básicos; 1/3;1    ; 1/2;2    ; 1/3; 1/2
Electrificación con el potencial requerido; 1/2;2    ;1    ;3    ; 1/2; 1/2
Servicio o comunicación; 1/2; 1/2; 1/3;1    ; 1/3; 1/2
Impacto negativo al medio ambiente;3    ;3    ;2    ;3    ;1    ;3    
Pertinencia de la cadena con políticas e instrumentos de planificación y gestión estratégica;3    ;2    ;2    ;2    ; 1/3;1    
