SOCIAL;Generación de empleo;Participación de la población joven;Participació de la mujer ;Impacto social;Presencia de emprendedores;Capacidad organizacional 
Generación de empleo;1    ; 1/5;3    ; 1/3; 1/5; 1/3
Participación de la población joven;5    ;1    ;1    ; 1/3; 1/3; 1/3
Participació de la mujer ; 1/3;1    ;1    ; 1/3; 1/3; 1/3
Impacto social;3    ;3    ;3    ;1    ;1    ;1    
Presencia de emprendedores;5    ;3    ;3    ;1    ;1    ;1    
Capacidad organizacional ;3    ;3    ;3    ;1    ;1    ;1    
