SOCIAL;Generación de empleo;Participación de la población joven;Participació de la mujer ;Impacto social;Presencia de emprendedores;Capacidad organizacional 
Generación de empleo;1    ;1    ;7    ; 1/3; 1/3;1    
Participación de la población joven;1    ;1    ;1    ; 1/5; 1/5; 1/5
Participació de la mujer ; 1/7;1    ;1    ; 1/5; 1/5; 1/5
Impacto social;3    ;5    ;5    ;1    ;3    ;3    
Presencia de emprendedores;3    ;5    ;5    ; 1/3;1    ;3    
Capacidad organizacional ;1    ;5    ;5    ; 1/3; 1/3;1    
