TERRITORIAL E INSTITUCIONAL;Acceso al mercado;Disponibilidad de servicios básicos;Electrificación con el potencial requerido;Servicio o comunicación;Impacto negativo al medio ambiente;Pertinencia de la cadena con políticas e instrumentos de planificación y gestión estratégica
Acceso al mercado;1    ; 1/7; 1/7; 1/7; 1/7;1    
Disponibilidad de servicios básicos;7    ;1    ;1    ;1    ;1    ;7    
Electrificación con el potencial requerido;7    ;1    ;1    ;3    ;3    ;3    
Servicio o comunicación;7    ;1    ; 1/3;1    ; 1/3;3    
Impacto negativo al medio ambiente;7    ;1    ; 1/3;3    ;1    ;3    
Pertinencia de la cadena con políticas e instrumentos de planificación y gestión estratégica;1    ; 1/7; 1/3; 1/3; 1/3;1    
