TERRITORIAL E INSTITUCIONAL;Acceso al mercado;Disponibilidad de servicios básicos;Electrificación con el potencial requerido;Servicio o comunicación;Impacto negativo al medio ambiente;Pertinencia de la cadena con políticas e instrumentos de planificación y gestión estratégica
Acceso al mercado;1    ;3    ;1    ;1    ;1    ;3    
Disponibilidad de servicios básicos; 1/3;1    ;3    ;1    ;1    ;1    
Electrificación con el potencial requerido;1    ; 1/3;1    ;1    ; 1/3; 1/3
Servicio o comunicación;1    ;1    ;1    ;1    ;1    ;1    
Impacto negativo al medio ambiente;1    ;1    ;3    ;1    ;1    ;1    
Pertinencia de la cadena con políticas e instrumentos de planificación y gestión estratégica; 1/3;1    ;3    ;1    ;1    ;1    
